Name,Location,ID,GRID_ID,fuzz,Manual_GRID,,,,,,
Unknown,Unknown,Technical-University-of-Lisbon,1,1,grid.9983.b,,,,,,
Unknown,Unknown,University-of-Milan-Bicocca,1,1,grid.7563.7,,,,,,
Unknown,Unknown,instituto-superior-tecnico-lisboa,1,1,grid.9983.b,,,,,,
Unknown,Unknown,china-university-geosciences-wuhan,1,1,grid.503241.1,,,,,,
Unknown,Unknown,espci-paristech,1,1,grid.15736.36,,,,,,
Unknown,Unknown,universite-bourgogne-franche-comte-ubfc,1,1,grid.493090.7,,,,,,
Unknown,Unknown,khalifa-university-science-technology-and-rese...,1,1,grid.440568.b,,,,,,
Unknown,Unknown,islamic-azad-university-karaj,1,1,grid.411769.c,,,,,,
Unknown,Unknown,china-university-geosciences-beijing,1,1,grid.162107.3,,,,,,
Unknown,Unknown,hamamatsu-university-school-medicine,1,1,grid.471533.7,,,,,,
Unknown,Unknown,baku-state-university,1,1,grid.37600.32,,,,,,
Unknown,Unknown,baku-engineering-university,1,1,Manual_10,,,,,,
Unknown,Unknown,universite-de-lille,1,1,grid.503422.2,,,,,,
Unknown,Unknown,tecnologico-de-costa-rica-tec,1,1,grid.441034.6,,,,,,
Unknown,Unknown,university-west-indies,1,1,grid.461576.7,,,,,,
Unknown,Unknown,benha-university,1,1,grid.411660.4,,,,,,
Unknown,Unknown,indian-institute-science-education-and-research-kolkata,1,1,grid.417960.d,,,,,,
Unknown,Unknown,miguel-hernandez-university-elche,1,1,grid.26811.3c,,,,,,
Unknown,Unknown,universidad-autonoma-de-queretaro,1,1,grid.412861.8,,,,,,
Unknown,Unknown,belgorod-state-national-research-university,1,1,grid.445984.0,,,,,,
Unknown,Unknown,industrial-university-santander-uis,1,1,grid.411595.d,,,,,,
Unknown,Unknown,national-university-san-martin,1,1,grid.108365.9,,,,,,
Unknown,Unknown,national-institute-technology-tiruchirappalli,1,1,grid.419653.c,,,,,,
Unknown,Unknown,al-azhar-university,1,1,grid.411303.4,,,,,,
Unknown,Unknown,universidad-autonoma-de-san-luis-potosi,1,1,grid.412862.b,,,,,,
Unknown,Unknown,badji-mokhtar-university-annaba,1,1,grid.440473.0,,,,,,
Unknown,Unknown,ceara-state-university,1,1,grid.412327.1,,,,,,
Unknown,Unknown,university-economics-prague,1,1,grid.266283.b,,,,,,
Unknown,Unknown,university-engineering-technology-uet-lahore,1,1,grid.444938.6,,,,,,
Unknown,Unknown,federal-university-para,1,1,grid.271300.7,,,,,,
Unknown,Unknown,university-leon,1,1,grid.4807.b,,,,,,
Unknown,Unknown,ln-gumilyov-eurasian-national-university,1,1,grid.55380.3b,,,,,,
Unknown,Unknown,university-nigeria-nsukka,1,1,grid.10757.34,,,,,,
Unknown,Unknown,pontifical-bolivarian-university-upb-medellin,1,1,grid.412249.8,,,,,,
Unknown,Unknown,shahrood-university-technology,1,1,grid.440804.c,,,,,,
Unknown,Unknown,universite-hassan-ii-de-casablanca,1,1,grid.412148.a,,,,,,
Unknown,Unknown,universiti-malaysia-sarawak-unimas,1,1,grid.412253.3,,,,,,
Unknown,Unknown,wroclaw-university-science-and-technology,1,1,grid.7005.2,,,,,,
Unknown,Unknown,universite-montpellier-2-sciences-et-techniques,1,1,grid.121334.6,,,,,,
