,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
202,203-304,2,Autonomous University of Madrid,Autonomous-University-of-Madrid,spain,,0,0,12.8,9.7,36.2,17.9,http://www.wikidata.org/entity/Q788091,grid.5515.4,
203,203-304,5,Ben-Gurion University of the Negev,Ben-Gurion-University-of-the-Negev,israel,,0,0,7.4,11.5,36.5,17.6,http://www.wikidata.org/entity/Q737332,grid.7489.2,
204,203-304,89-117,Brandeis University,Brandeis-University,unitedstates,,23.5,0,7.4,22.2,20.5,25.5,http://www.wikidata.org/entity/Q49119,grid.253264.4,
205,203-304,9-May,Chalmers University of Technology,Chalmers-University-of-Technology,sweden,,0,0,16.6,11.3,28.1,17.1,http://www.wikidata.org/entity/Q836805,grid.5371.0,
206,203-304,1,Charles University in Prague,Charles-University-in-Prague,czech,,14.4,0,0,11.3,37.1,15.8,http://www.wikidata.org/entity/Q31519,grid.4491.8,
207,203-304,4-Jan,City University of Hong Kong,City-University-of-Hong-Kong,"hongkong,china",,0,0,10.5,7,36.1,19.1,http://www.wikidata.org/entity/Q787360,grid.35030.35,
208,203-304,89-117,City University of New York City College,City-University-of-New-York-City-College,unitedstates,,37.2,0,10.5,8.8,17.9,15.6,http://www.wikidata.org/entity/Q1093910,grid.254250.4,
209,203-304,12-Aug,Claude Bernard University Lyon 1,Claude-Bernard-University-Lyon-1,france,,14.4,0,0,13.7,37.7,18.6,http://www.wikidata.org/entity/Q4032,grid.7849.2,
210,203-304,2,Complutense University of Madrid,Complutense-University-of-Madrid,spain,,18.6,0,0,10.5,40.1,19.6,http://www.wikidata.org/entity/Q219694,grid.4795.f,
211,203-304,17-Aug,Dalhousie University,Dalhousie-University,canada,,0,0,14.8,18.4,34.4,18.8,http://www.wikidata.org/entity/Q579321,grid.55602.34,
212,203-304,12-Aug,Ecole Polytechnique,Ecole-Polytechnique,france,,21.2,0,7.4,14.4,29.6,16.6,http://www.wikidata.org/entity/Q273626,grid.10877.39,
213,203-304,89-117,George Mason University,George-Mason-University,unitedstates,,0,32.2,10.5,1.6,25.6,18.5,http://www.wikidata.org/entity/Q1411222,grid.22448.38,
214,203-304,89-117,Georgetown University,Georgetown-University,unitedstates,,0,0,10.5,9.8,33.4,18.9,http://www.wikidata.org/entity/Q333886,grid.213910.8,
215,203-304,10,Hiroshima University,Hiroshima-University,japan,,0,0,7.4,9.6,38.3,18.3,http://www.wikidata.org/entity/Q115220,grid.257022.0,
216,203-304,10,Keio University,Keio-University,japan,,0,0,10.5,11.7,34.4,17,http://www.wikidata.org/entity/Q815432,grid.26091.3c,
217,203-304,10,Kobe University,Kobe-University,japan,,0,0,12.8,13.2,33,16.5,http://www.wikidata.org/entity/Q1192597,grid.31432.37,
218,203-304,2,Korea Advanced Institute of Science and Technology,Korea-Advanced-Institute-of-Science-and-Technology,southkorea,,0,0,0,12.5,39.4,27.3,http://www.wikidata.org/entity/Q39949,grid.37172.30,
219,203-304,24-33,Lancaster University,Lancaster-University,unitedkingdom,,0,0,16.6,10.8,28.3,24.9,http://www.wikidata.org/entity/Q262854,grid.9835.7,
220,203-304,17-Aug,Laval University,Laval-University,canada,,0,0,16.6,9.8,37.4,19,http://www.wikidata.org/entity/Q1067935,grid.23856.3a,
221,203-304,24-33,London School of Hygiene and Tropical Medicine,London-School-of-Hygiene-and-Tropical-Medicine,unitedkingdom,,10.2,0,0,10.7,28.3,40.7,,grid.8991.9,103
222,203-304,89-117,Louisiana State University - Baton Rouge,Louisiana-State-University---Baton-Rouge,unitedstates,,0,0,16.6,11.9,38,15.8,http://www.wikidata.org/entity/Q1521725,grid.64337.35,
223,203-304,8,Macquarie University,Macquarie-University,australia,,0,0,12.8,16.4,24.9,21.8,http://www.wikidata.org/entity/Q741082,grid.1004.5,
224,203-304,2,Medical University of Vienna,Medical-University-of-Vienna,austria,,13.2,15.5,7.4,6.4,31.1,16.8,http://www.wikidata.org/entity/Q700731,grid.22937.3d,
225,203-304,8,Monash University,Monash-University,australia,,0,0,7.4,15.5,44,19,http://www.wikidata.org/entity/Q598841,grid.1002.3,
226,203-304,6-Feb,Nanjing University,Nanjing-University,china,,0,0,0,12,46.2,17.8,http://www.wikidata.org/entity/Q683580,grid.41156.37,
227,203-304,1,National and Kapodistrian University of Athens,National-and-Kapodistrian-University-of-Athens,greece,,0,0,10.5,5.6,41.3,19.4,http://www.wikidata.org/entity/Q547867,grid.5216.0,
228,203-304,24-33,Newcastle University,Newcastle-University,unitedkingdom,,0,0,10.5,15.6,38,22,http://www.wikidata.org/entity/Q837164,grid.1006.7,
229,203-304,2,Norwegian University of Science and Technology,Norwegian-University-of-Science-and-Technology,norway,,17.6,0,10.5,16.4,32.9,18.1,,grid.5947.f,101
230,203-304,12-Aug,Paul Sabatier University (Toulouse 3),Paul-Sabatier-University-(Toulouse-3),france,,0,6.3,0,17.2,32.9,17,http://www.wikidata.org/entity/Q1273188,grid.15781.3a,
231,203-304,6-Feb,Peking University,Peking-University,china,,0,0,0,11.4,54.4,16,http://www.wikidata.org/entity/Q16952,grid.11135.37,
232,203-304,6,Polytechnic Institute of Milan,Polytechnic-Institute-of-Milan,italy,,10.2,15.5,0,8.1,27.7,13.7,http://www.wikidata.org/entity/Q392904,grid.4643.5,
233,203-304,17-Aug,Queen's University,Queens-University,canada,,0,0,16.6,17.1,35.4,19.2,http://www.wikidata.org/entity/Q1420038,grid.410356.5,
234,203-304,24-33,Queen's University,Queens-University,unitedkingdom,,22,0,0,12.8,31,21.3,http://www.wikidata.org/entity/Q1420038,grid.4777.3,
235,203-304,89-117,Rensselaer Polytechnic Institute,Rensselaer-Polytechnic-Institute,unitedstates,,15.6,0,18.2,13.1,27.1,24.8,http://www.wikidata.org/entity/Q49211,grid.33647.35,
236,203-304,9-May,Royal Institute of Technology,Royal-Institute-of-Technology,sweden,,0,15.5,0,8.1,36.5,17.2,,grid.5037.1,101
