,Rank,Name,score_list,Academic_reputation,Employer_reputation,Faculty_Student,International_Faculty,International_Students,Citations,href,location,QS_World_University_ID,item,GRID_ID,fuzz
586,551-600,Tokyo University of Agriculture and Technology ,,,,25.1,46.6,,,/universities/tokyo-university-agriculture-technology,,tokyo-university-agriculture-technology,http://www.wikidata.org/entity/Q1301275,grid.136594.c,
587,551-600,Università degli Studi di Pavia,,,,,40.7,,,/universities/universita-degli-studi-di-pavia,Italy,universita-degli-studi-di-pavia,http://www.wikidata.org/entity/Q219317,grid.8982.b,
588,551-600,University of Bradford,,,,,23.1,55.5,95.0,/universities/university-bradford,United Kingdom,university-bradford,http://www.wikidata.org/entity/Q954035,grid.6268.a,
589,551-600,University of Canberra,,,,,,51.7,72.3,/universities/university-canberra,Australia,university-canberra,http://www.wikidata.org/entity/Q1640648,grid.1039.b,
590,551-600,University of Cincinnati,,,,28.8,38.7,,,/universities/university-cincinnati,United States,university-cincinnati,http://www.wikidata.org/entity/Q153265,grid.24827.3b,
591,551-600,University of Hull,,,,,30.1,61.8,59.3,/universities/university-hull,United Kingdom,university-hull,http://www.wikidata.org/entity/Q1474019,grid.9481.4,
592,551-600,University of Jordan,,,37.5,,,34.2,53.4,/universities/university-jordan,Jordan,university-jordan,http://www.wikidata.org/entity/Q610253,grid.9670.8,
593,551-600,University of Massachusetts - Boston,,,,,27.3,,,/universities/university-massachusetts-boston,United States,university-massachusetts-boston,http://www.wikidata.org/entity/Q15144,grid.266685.9,
594,551-600,"University of Missouri, Columbia",,,,26.2,24.7,44.2,,/universities/university-missouri-columbia,United States,university-missouri-columbia,http://www.wikidata.org/entity/Q579968,grid.134936.a,
595,551-600,University of Oregon,,,,,31.5,,37.3,/universities/university-oregon,United States,university-oregon,http://www.wikidata.org/entity/Q766145,grid.170202.6,
596,551-600,University of Science and Technology Beijing,,,,,44.3,,,/universities/university-science-technology-beijing,China,university-science-technology-beijing,http://www.wikidata.org/entity/Q1510516,grid.69775.3a,
597,551-600,University of South Carolina,,,,,38.0,,,/universities/university-south-carolina,United States,university-south-carolina,http://www.wikidata.org/entity/Q1024426,grid.254567.7,
598,551-600,University of Tehran,,,,,37.6,,,/universities/university-tehran,"Iran, Islamic Republic of",university-tehran,http://www.wikidata.org/entity/Q737835,grid.46072.37,
599,551-600,University of Ulsan ,,,,66.2,25.4,,,/universities/university-ulsan,,university-ulsan,http://www.wikidata.org/entity/Q491717,grid.267370.7,
600,551-600,University of Vermont,,,,66.8,26.7,,,/universities/university-vermont,United States,university-vermont,http://www.wikidata.org/entity/Q1048898,grid.59062.38,
601,551-600,Western Sydney University,,,,,23.3,79.8,37.2,/universities/western-sydney-university,Australia,western-sydney-university,http://www.wikidata.org/entity/Q1141452,grid.1029.a,
602,601-650,Universidad de Antioquia,,37.6,31.8,,,,,/universities/universidad-de-antioquia,Colombia,universidad-de-antioquia,http://www.wikidata.org/entity/Q1258413,grid.412881.6,
603,601-650,Universidad Nacional de Córdoba - UNC,,33.8,42.3,,,,,/universities/universidad-nacional-de-cordoba-unc,Argentina,universidad-nacional-de-cordoba-unc,http://www.wikidata.org/entity/Q1570489,grid.10692.3c,
604,601-650,Universidad de Sevilla,,33.4,,,,,,/universities/universidad-de-sevilla,Spain,universidad-de-sevilla,http://www.wikidata.org/entity/Q1229996,grid.9224.d,
605,601-650,Universidad Católica Andres Bello,,29.6,67.8,,,,,/universities/universidad-catolica-andres-bello,Venezuela,universidad-catolica-andres-bello,http://www.wikidata.org/entity/Q4760155,grid.442089.3,
606,601-650,Pontificia Universidad Católica de Valparaíso,,28.2,39.7,,,22.9,,/universities/pontificia-universidad-catolica-de-valparaiso,Chile,pontificia-universidad-catolica-de-valparaiso,http://www.wikidata.org/entity/Q1284408,grid.8170.e,
607,601-650,Universidade de Brasília,,27.6,32.8,,,,,/universities/universidade-de-brasilia,Brazil,universidade-de-brasilia,http://www.wikidata.org/entity/Q1330634,grid.7632.0,
608,601-650,Universidad de Concepción,,27.5,34.5,,,,,/universities/universidad-de-concepcion,Chile,universidad-de-concepcion,http://www.wikidata.org/entity/Q199948,grid.5380.e,
609,601-650,Thammasat University,,27.5,31.5,,,,,/universities/thammasat-university,Thailand,thammasat-university,http://www.wikidata.org/entity/Q1209733,grid.412434.4,
610,601-650,Bielefeld University,,27.1,,,,22.2,,/universities/bielefeld-university,Germany,bielefeld-university,http://www.wikidata.org/entity/Q24382,grid.7491.b,
611,601-650,Ajou University,,,,55.5,,,,/universities/ajou-university,South Korea,ajou-university,http://www.wikidata.org/entity/Q491082,grid.251916.8,
612,601-650,Bar-Ilan University,,,,,34.7,39.1,,/universities/bar-ilan-university,Israel,bar-ilan-university,http://www.wikidata.org/entity/Q1124657,grid.22098.31,
613,601-650,Central Queensland University (CQUniversity Australia),,,,34.6,,98.3,86.1,/universities/central-queensland-university-cquniversity-australia,Australia,central-queensland-university-cquniversity-australia,,grid.1023.0,103.0
614,601-650,Chonnam National University,,,,47.0,,,,/universities/chonnam-national-university,South Korea,chonnam-national-university,http://www.wikidata.org/entity/Q494681,grid.14005.30,
615,601-650,Clarkson University,,,,,55.3,41.8,,/universities/clarkson-university,United States,clarkson-university,http://www.wikidata.org/entity/Q931865,grid.254280.9,
616,601-650,Eötvös Lorànd University   ,,,,30.8,,,,/universities/eotvos-lorand-university,,eotvos-lorand-university,http://www.wikidata.org/entity/Q390287,grid.5591.8,
617,601-650,Hallym University ,,,,76.8,,,,/universities/hallym-university,,hallym-university,http://www.wikidata.org/entity/Q482724,grid.256753.0,
618,601-650,Instituto Tecnológico Autónomo de México (ITAM),,,53.4,,,57.2,,/universities/instituto-tecnologico-autonomo-de-mexico-itam,Mexico,instituto-tecnologico-autonomo-de-mexico-itam,http://www.wikidata.org/entity/Q1665236,grid.454349.b,
619,601-650,International Islamic University Malaysia (IIUM),,,,27.8,,46.9,69.9,/universities/international-islamic-university-malaysia-iium,Malaysia,international-islamic-university-malaysia-iium,http://www.wikidata.org/entity/Q1524992,grid.440422.4,
620,601-650,"Lingnan University, Hong Kong",,,,27.3,,98.2,44.8,/universities/lingnan-university-hong-kong,Hong Kong,lingnan-university-hong-kong,http://www.wikidata.org/entity/Q1541161,grid.411382.d,
621,601-650,Auezov South Kazakhstan State University (SKSU),,,,69.5,,17.4,,/universities/auezov-south-kazakhstan-state-university-sksu,Kazakhstan,auezov-south-kazakhstan-state-university-sksu,http://www.wikidata.org/entity/Q4533962,grid.443633.5,
622,601-650,Masaryk University,,,,,,20.8,71.1,/universities/masaryk-university,Czech Republic,masaryk-university,http://www.wikidata.org/entity/Q763586,grid.10267.32,
623,601-650,Middlesex University,,,,,,83.5,93.7,/universities/middlesex-university,United Kingdom,middlesex-university,http://www.wikidata.org/entity/Q1760791,grid.15822.3c,
624,601-650,The National University of Science and Technology MISIS,,,,62.6,,,63.4,/universities/national-university-science-technology-misis,Russia,national-university-science-technology-misis,http://www.wikidata.org/entity/Q4315005,grid.35043.31,
625,601-650,The New School,,,,53.8,,,96.4,/universities/new-school,United States,new-school,http://www.wikidata.org/entity/Q599316,grid.264933.9,
626,601-650,RUDN University,,,,57.9,,,84.7,/universities/rudn-university,Russia,rudn-university,http://www.wikidata.org/entity/Q839669,grid.77642.30,
627,601-650,Tallinn University of Technology (TalTech),,,32.9,33.2,,22.1,26.5,/universities/tallinn-university-technology-taltech,Estonia,tallinn-university-technology-taltech,,grid.6988.f,103.0
628,601-650,Universidad de Alcalá,,,,27.1,,21.7,74.0,/universities/universidad-de-alcala,Spain,universidad-de-alcala,http://www.wikidata.org/entity/Q1243904,grid.7159.a,
629,601-650,Universidad de Montevideo (UM),,,30.8,41.5,,,,/universities/universidad-de-montevideo-um,Uruguay,universidad-de-montevideo-um,http://www.wikidata.org/entity/Q961612,grid.442043.5,
630,601-650,Universidad Torcuato Di Tella,,,42.1,30.0,,,,/universities/universidad-torcuato-di-tella,Argentina,universidad-torcuato-di-tella,http://www.wikidata.org/entity/Q1333933,grid.440496.b,
631,601-650,Universität Duisburg-Essen,,,,,34.4,23.7,55.5,/universities/universitat-duisburg-essen,Germany,universitat-duisburg-essen,http://www.wikidata.org/entity/Q696757,grid.5718.b,
